log_id,timestamp,user_id,user_role,action_type,entity_type,entity_id,field_changed,old_value,new_value,ip_address,user_agent,session_id,result,error_message,duration_ms
LOG-0000001,2016-01-29T05:26:00Z,USR-0050,admin,SUBMIT,purchase_order,PO-102931,,,,10.63.51.228,Edge/Windows,SES-003960,success,,1751
LOG-0000002,2018-09-02T12:47:00Z,USR-0059,viewer,UPDATE,purchase_order,PO-109860,total_usd,pending,,10.78.56.28,Chrome/macOS,SES-014248,success,,1086
LOG-0000003,2018-12-13T22:20:00Z,USR-0068,admin,VIEW,purchase_order,PO-104482,,,,10.23.247.1,Chrome/macOS,SES-022759,success,,171
LOG-0000004,2018-09-18T01:54:00Z,USR-0009,analyst,UPDATE,purchase_order,PO-118422,risk_score,pending,,10.78.189.189,Edge/Windows,SES-015615,success,,1610
LOG-0000005,2018-05-04T13:15:00Z,USR-0081,analyst,LOGOUT,purchase_order,PO-102597,,,,10.118.76.89,Safari/macOS,SES-011779,success,,141
LOG-0000006,2020-03-10T12:16:00Z,USR-0001,procurement_manager,CREATE,purchase_order,PO-144396,,,,10.84.72.242,Safari/macOS,SES-004295,success,,1819
LOG-0000007,2022-06-06T09:16:00Z,USR-0003,analyst,UPDATE,purchase_order,PO-144836,payment_terms,pending,,10.61.78.53,Safari/macOS,SES-022684,success,,982
LOG-0000008,2022-04-06T12:05:00Z,USR-0041,admin,UPDATE,purchase_order,PO-134176,total_usd,pending,,10.199.160.123,Chrome/macOS,SES-006382,success,,898
LOG-0000009,2024-08-18T15:26:00Z,USR-0075,analyst,UPDATE,purchase_order,PO-124077,total_usd,pending,,10.93.178.59,Chrome/macOS,SES-019407,success,,1326
LOG-0000010,2023-10-30T15:03:00Z,USR-0067,admin,VIEW,purchase_order,PO-138170,,,,10.158.3.18,Safari/macOS,SES-017819,success,,1122
LOG-0000011,2019-05-20T05:07:00Z,USR-0049,procurement_manager,SUBMIT,purchase_order,PO-136492,,,,10.156.161.11,API-client/2.1,SES-013517,success,,55
LOG-0000012,2015-02-13T17:55:00Z,USR-0053,procurement_manager,VIEW,purchase_order,PO-111313,,,,10.97.92.110,Edge/Windows,SES-007013,success,,1387
LOG-0000013,2021-08-26T12:02:00Z,USR-0013,analyst,EXPORT,purchase_order,PO-101578,,,,10.126.14.48,Chrome/macOS,SES-024070,success,,238
LOG-0000014,2021-09-06T02:39:00Z,USR-0051,viewer,CREATE,purchase_order,PO-120010,,,,10.126.36.243,Safari/macOS,SES-014867,success,,2289
LOG-0000015,2017-06-12T10:09:00Z,USR-0068,admin,UPDATE,purchase_order,PO-117040,status,pending,,10.61.182.248,Safari/macOS,SES-007268,success,,1235
LOG-0000016,2023-10-29T17:12:00Z,USR-0081,procurement_manager,CANCEL,purchase_order,PO-118944,,,,10.218.194.230,API-client/2.1,SES-015720,success,,1167
LOG-0000017,2024-10-22T14:18:00Z,USR-0068,admin,CREATE,purchase_order,PO-116136,,,,10.216.231.120,Safari/macOS,SES-000921,success,,194
LOG-0000018,2015-09-05T12:18:00Z,USR-0083,procurement_manager,CREATE,purchase_order,PO-103872,,,,10.24.143.245,Edge/Windows,SES-006487,success,,1696
LOG-0000019,2021-05-18T02:59:00Z,USR-0050,viewer,CREATE,purchase_order,PO-109133,,,,10.129.171.139,API-client/2.1,SES-018518,success,,1114
LOG-0000020,2020-02-18T00:19:00Z,USR-0072,admin,UPDATE,purchase_order,PO-134156,risk_score,pending,,10.42.60.145,API-client/2.1,SES-013019,success,,2123
LOG-0000021,2024-03-16T19:01:00Z,USR-0013,analyst,APPROVE,purchase_order,PO-149506,total_usd,,approved,10.189.82.133,Safari/macOS,SES-017783,success,,1203
LOG-0000022,2024-07-05T16:41:00Z,USR-0058,analyst,CREATE,purchase_order,PO-148476,,,,10.213.100.76,Chrome/macOS,SES-023050,success,,946
LOG-0000023,2023-03-09T07:10:00Z,USR-0066,procurement_manager,VIEW,purchase_order,PO-103070,,,,10.30.111.197,Safari/macOS,SES-008271,success,,1315
LOG-0000024,2024-05-25T13:39:00Z,USR-0085,viewer,APPROVE,purchase_order,PO-146531,total_usd,,approved,10.43.103.208,API-client/2.1,SES-008086,success,,103
LOG-0000025,2015-06-03T02:04:00Z,USR-0028,admin,VIEW,purchase_order,PO-124756,,,,10.187.5.145,Safari/macOS,SES-022433,success,,446
LOG-0000026,2015-04-30T15:33:00Z,USR-0012,viewer,VIEW,purchase_order,PO-127981,,,,10.135.24.156,Safari/macOS,SES-006175,success,,2334
LOG-0000027,2020-06-22T22:48:00Z,USR-0014,analyst,UPDATE,purchase_order,PO-104051,payment_terms,pending,,10.59.82.166,Chrome/macOS,SES-000575,success,,263
LOG-0000028,2022-10-05T14:04:00Z,USR-0067,analyst,SUBMIT,purchase_order,PO-102409,,,,10.39.24.147,Safari/macOS,SES-016453,success,,2094
LOG-0000029,2020-08-03T23:16:00Z,USR-0042,analyst,VIEW,purchase_order,PO-106971,,,,10.92.38.243,API-client/2.1,SES-012030,success,,1541
LOG-0000030,2020-04-13T18:24:00Z,USR-0026,admin,LOGIN,purchase_order,PO-122048,,,,10.214.136.10,API-client/2.1,SES-015190,success,,109
LOG-0000031,2023-06-12T01:15:00Z,USR-0002,viewer,VIEW,purchase_order,PO-115078,,,,10.182.200.18,Edge/Windows,SES-024913,success,,1486
LOG-0000032,2024-07-20T23:52:00Z,USR-0046,analyst,SUBMIT,purchase_order,PO-118539,,,,10.140.163.212,Safari/macOS,SES-009114,success,,2065
LOG-0000033,2024-06-03T02:49:00Z,USR-0076,analyst,VIEW,purchase_order,PO-125112,,,,10.169.68.126,Safari/macOS,SES-014725,success,,2047
LOG-0000034,2020-06-20T02:37:00Z,USR-0032,analyst,LOGIN,purchase_order,PO-120253,,,,10.177.40.51,Chrome/macOS,SES-023555,success,,2300
LOG-0000035,2021-09-17T20:31:00Z,USR-0049,viewer,SUBMIT,purchase_order,PO-148497,,,,10.91.178.132,Safari/macOS,SES-020972,success,,2042
LOG-0000036,2022-04-08T22:24:00Z,USR-0060,viewer,VIEW,purchase_order,PO-107835,,,,10.104.143.3,Safari/macOS,SES-024937,success,,91
LOG-0000037,2020-11-16T20:56:00Z,USR-0007,viewer,UPDATE,purchase_order,PO-137371,payment_terms,pending,,10.105.174.206,Safari/macOS,SES-004810,success,,1798
LOG-0000038,2018-12-29T11:53:00Z,USR-0081,procurement_manager,LOGIN,purchase_order,PO-130220,,,,10.190.43.92,Chrome/macOS,SES-018443,success,,432
LOG-0000039,2015-11-07T10:48:00Z,USR-0038,analyst,VIEW,purchase_order,PO-119590,,,,10.29.70.92,Edge/Windows,SES-017826,failure,permission denied,463
LOG-0000040,2022-02-07T11:04:00Z,USR-0025,viewer,CREATE,purchase_order,PO-124750,,,,10.152.186.118,Safari/macOS,SES-014532,success,,1764
LOG-0000041,2015-11-20T15:31:00Z,USR-0022,procurement_manager,ARCHIVE,purchase_order,PO-104662,,,,10.134.241.206,API-client/2.1,SES-020312,success,,533
LOG-0000042,2015-10-20T14:15:00Z,USR-0074,admin,LOGIN,purchase_order,PO-107975,,,,10.30.133.175,API-client/2.1,SES-022536,success,,841
LOG-0000043,2021-02-05T02:11:00Z,USR-0039,viewer,CANCEL,purchase_order,PO-125932,,,,10.156.156.108,Safari/macOS,SES-002827,success,,152
LOG-0000044,2024-11-06T18:14:00Z,USR-0037,admin,CREATE,purchase_order,PO-146851,,,,10.59.151.90,Chrome/macOS,SES-018598,success,,1686
LOG-0000045,2022-08-11T04:48:00Z,USR-0020,analyst,VIEW,purchase_order,PO-145689,,,,10.7.168.191,Chrome/macOS,SES-001799,success,,1920
LOG-0000046,2017-09-02T07:57:00Z,USR-0073,admin,LOGOUT,purchase_order,PO-109610,,,,10.52.68.10,API-client/2.1,SES-021665,success,,1233
LOG-0000047,2021-08-10T21:44:00Z,USR-0052,procurement_manager,CREATE,purchase_order,PO-136774,,,,10.112.188.215,Chrome/macOS,SES-012308,success,,374
LOG-0000048,2019-06-09T12:27:00Z,USR-0073,procurement_manager,APPROVE,purchase_order,PO-120728,risk_score,,approved,10.6.110.21,Safari/macOS,SES-019084,success,,746
LOG-0000049,2017-12-15T17:03:00Z,USR-0078,admin,ARCHIVE,purchase_order,PO-145656,,,,10.66.222.183,Chrome/macOS,SES-016186,success,,180
LOG-0000050,2024-12-07T21:31:00Z,USR-0059,admin,LOGIN,purchase_order,PO-142687,,,,10.92.89.55,Edge/Windows,SES-008699,success,,600
LOG-0000051,2021-03-21T06:40:00Z,USR-0078,viewer,CREATE,purchase_order,PO-136925,,,,10.164.54.39,Safari/macOS,SES-005715,success,,69
LOG-0000052,2020-01-25T18:02:00Z,USR-0037,viewer,UPDATE,purchase_order,PO-126593,total_usd,pending,,10.19.54.131,Edge/Windows,SES-023996,success,,195
