date,commodity_code,country_code,region,commodity,historical_demand_units,forecast_demand_units,actual_demand_units,demand_units,demand_variance_percent,seasonal_index,trend_component,cyclical_component,irregular_component,demand_type,customer_segment_breakdown,is_anomaly
2015-01,STL,IN,Asia,Steel,35937,36571,33855,33855,-5.794,1,1.0,0.0,-0.0579,baseline,"{""enterprise"": 14219, ""mid_market"": 11172, ""small_business"": 6094, ""startup"": 2370}",false
2015-01,COP,IN,Asia,Copper,29937,29481,33203,33203,10.909,1,1.0,0.0,0.1091,baseline,"{""enterprise"": 13945, ""mid_market"": 10957, ""small_business"": 5977, ""startup"": 2324}",false
2015-01,PLA,IN,Asia,Plastic,32075,31063,31557,31557,-1.616,1,1.0,0.0,-0.0162,baseline,"{""enterprise"": 13254, ""mid_market"": 10414, ""small_business"": 5680, ""startup"": 2209}",false
2015-01,CTN,IN,Asia,Cotton,48834,47908,40411,40411,-17.249,1,1.0,0.0,-0.1725,baseline,"{""enterprise"": 16973, ""mid_market"": 13336, ""small_business"": 7274, ""startup"": 2829}",false
2015-01,SLC,IN,Asia,Silicon,30183,29965,32314,32314,7.06,1,1.0,0.0,0.0706,baseline,"{""enterprise"": 13572, ""mid_market"": 10664, ""small_business"": 5817, ""startup"": 2262}",false
2015-01,ALM,IN,Asia,Aluminum,43261,46105,36449,36449,-15.745,1,1.0,0.0,-0.1574,baseline,"{""enterprise"": 15309, ""mid_market"": 12028, ""small_business"": 6561, ""startup"": 2551}",false
2015-01,LIT,IN,Asia,Lithium,19960,19223,23211,23211,16.29,1,1.0,0.0,0.1629,baseline,"{""enterprise"": 9749, ""mid_market"": 7660, ""small_business"": 4178, ""startup"": 1625}",false
2015-01,NIC,IN,Asia,Nickel,48822,50385,52826,52826,8.201,1,1.0,0.0,0.082,baseline,"{""enterprise"": 22187, ""mid_market"": 17433, ""small_business"": 9509, ""startup"": 3698}",false
2015-01,REE,IN,Asia,Rare Earth,35585,37981,36310,36310,2.039,1,1.0,0.0,0.0204,baseline,"{""enterprise"": 15251, ""mid_market"": 11983, ""small_business"": 6536, ""startup"": 2542}",false
2015-01,SEM,IN,Asia,Semiconductors,40840,39447,33982,33982,-16.792,1,1.0,0.0,-0.1679,baseline,"{""enterprise"": 14273, ""mid_market"": 11214, ""small_business"": 6117, ""startup"": 2379}",false
2015-01,RBR,IN,Asia,Rubber,51147,51424,46659,46659,-8.775,1,1.0,0.0,-0.0877,baseline,"{""enterprise"": 19597, ""mid_market"": 15398, ""small_business"": 8399, ""startup"": 3266}",false
2015-01,TIM,IN,Asia,Timber,38723,38842,43514,43514,12.373,1,1.0,0.0,0.1237,baseline,"{""enterprise"": 18276, ""mid_market"": 14360, ""small_business"": 7833, ""startup"": 3046}",false
