date,currency,country_code,rate_to_usd,volatility_30d
2015-01,INR,IN,80.099165,0.004
2015-01,CNY,CN,7.233319,0.004
2015-01,USD,US,1.030533,0.004
2015-01,EUR,DE,0.885929,0.004
2015-01,JPY,JP,150.609103,0.004
2015-01,VND,VN,25126.712879,0.004
2015-01,BRL,BR,5.09925,0.004
2015-01,KRW,KR,1299.122242,0.004
2015-01,MXN,MX,17.947667,0.004
2015-01,THB,TH,35.166282,0.004
2015-01,PLN,PL,4.159138,0.004
2015-01,TRY,TR,27.252487,0.004
2015-01,ZAR,ZA,19.171144,0.004
2015-01,AUD,AU,1.55803,0.004
2015-01,CAD,CA,1.389788,0.004
2015-02,INR,IN,81.243378,0.00732
2015-02,CNY,CN,7.343218,0.00732
2015-02,USD,US,1.022276,0.00732
2015-02,EUR,DE,0.890154,0.00732
2015-02,JPY,JP,149.527224,0.00732
2015-02,VND,VN,25047.620568,0.00732
2015-02,BRL,BR,4.935941,0.00732
2015-02,KRW,KR,1321.841132,0.00732
2015-02,MXN,MX,17.721735,0.00732
2015-02,THB,TH,34.872329,0.00732
2015-02,PLN,PL,4.119552,0.00732
2015-02,TRY,TR,27.494274,0.00732
2015-02,ZAR,ZA,19.101649,0.00732
2015-02,AUD,AU,1.548675,0.00732
2015-02,CAD,CA,1.393304,0.00732
2015-03,INR,IN,80.823231,0.01054
2015-03,CNY,CN,7.305451,0.01054
2015-03,USD,US,1.033074,0.01054
2015-03,EUR,DE,0.894105,0.01054
2015-03,JPY,JP,150.786692,0.01054
2015-03,VND,VN,25184.398386,0.01054
2015-03,BRL,BR,5.037931,0.01054
2015-03,KRW,KR,1293.182507,0.01054
2015-03,MXN,MX,17.705209,0.01054
2015-03,THB,TH,35.233128,0.01054
2015-03,PLN,PL,4.074536,0.01054
2015-03,TRY,TR,27.256127,0.01054
2015-03,ZAR,ZA,19.093079,0.01054
2015-03,AUD,AU,1.552436,0.01054
2015-03,CAD,CA,1.388488,0.01054
2015-04,INR,IN,78.907825,0.01359
2015-04,CNY,CN,7.309568,0.01359
2015-04,USD,US,1.037498,0.01359
2015-04,EUR,DE,0.879386,0.01359
2015-04,JPY,JP,148.422675,0.01359
2015-04,VND,VN,25255.775892,0.01359
2015-04,BRL,BR,4.974717,0.01359
2015-04,KRW,KR,1287.786636,0.01359
2015-04,MXN,MX,17.34088,0.01359
2015-04,THB,TH,35.021765,0.01359
2015-04,PLN,PL,4.121475,0.01359
2015-04,TRY,TR,27.037885,0.01359
2015-04,ZAR,ZA,19.165083,0.01359
2015-04,AUD,AU,1.571603,0.01359
2015-04,CAD,CA,1.405135,0.01359
2015-05,INR,IN,80.771956,0.01637
2015-05,CNY,CN,7.399,0.01637
2015-05,USD,US,1.032555,0.01637
2015-05,EUR,DE,0.884807,0.01637
2015-05,JPY,JP,148.634182,0.01637
2015-05,VND,VN,25006.250944,0.01637
2015-05,BRL,BR,5.024176,0.01637
2015-05,KRW,KR,1291.941102,0.01637
2015-05,MXN,MX,17.486222,0.01637
2015-05,THB,TH,34.886294,0.01637
2015-05,PLN,PL,4.113609,0.01637
2015-05,TRY,TR,27.586114,0.01637
2015-05,ZAR,ZA,18.932109,0.01637
2015-05,AUD,AU,1.558249,0.01637
2015-05,CAD,CA,1.395523,0.01637
2015-06,INR,IN,81.247964,0.0188
2015-06,CNY,CN,7.254037,0.0188
2015-06,USD,US,1.031026,0.0188
2015-06,EUR,DE,0.887326,0.0188
2015-06,JPY,JP,145.119552,0.0188
2015-06,VND,VN,25061.101241,0.0188
2015-06,BRL,BR,4.994728,0.0188
2015-06,KRW,KR,1304.196652,0.0188
2015-06,MXN,MX,17.589433,0.0188
2015-06,THB,TH,35.284723,0.0188
2015-06,PLN,PL,4.054859,0.0188
2015-06,TRY,TR,27.116819,0.0188
2015-06,ZAR,ZA,19.188988,0.0188
2015-06,AUD,AU,1.562761,0.0188
2015-06,CAD,CA,1.427962,0.0188
2015-07,INR,IN,81.045168,0.02083
2015-07,CNY,CN,7.282213,0.02083
2015-07,USD,US,1.023734,0.02083
2015-07,EUR,DE,0.886539,0.02083
2015-07,JPY,JP,144.299286,0.02083
2015-07,VND,VN,25792.906791,0.02083
2015-07,BRL,BR,4.934753,0.02083
2015-07,KRW,KR,1272.520133,0.02083
2015-07,MXN,MX,17.169163,0.02083
2015-07,THB,TH,35.013568,0.02083
2015-07,PLN,PL,4.096482,0.02083
2015-07,TRY,TR,27.557864,0.02083
2015-07,ZAR,ZA,19.190549,0.02083
2015-07,AUD,AU,1.539346,0.02083
2015-07,CAD,CA,1.392387,0.02083
2015-08,INR,IN,81.186825,0.02239
2015-08,CNY,CN,7.290654,0.02239
2015-08,USD,US,1.016698,0.02239
2015-08,EUR,DE,0.887003,0.02239
2015-08,JPY,JP,148.14994,0.02239
2015-08,VND,VN,25490.609225,0.02239
2015-08,BRL,BR,4.934068,0.02239
2015-08,KRW,KR,1279.377251,0.02239
2015-08,MXN,MX,17.431641,0.02239
2015-08,THB,TH,34.544353,0.02239
2015-08,PLN,PL,4.074733,0.02239
2015-08,TRY,TR,27.412495,0.02239
2015-08,ZAR,ZA,19.050673,0.02239
2015-08,AUD,AU,1.560554,0.02239
2015-08,CAD,CA,1.411083,0.02239
2015-09,INR,IN,79.655756,0.02344
2015-09,CNY,CN,7.269526,0.02344
2015-09,USD,US,1.033703,0.02344
2015-09,EUR,DE,0.887345,0.02344
2015-09,JPY,JP,146.10512,0.02344
2015-09,VND,VN,25225.726439,0.02344
2015-09,BRL,BR,4.94627,0.02344
2015-09,KRW,KR,1295.346933,0.02344
2015-09,MXN,MX,17.234967,0.02344
2015-09,THB,TH,35.061047,0.02344
2015-09,PLN,PL,4.065741,0.02344
2015-09,TRY,TR,27.64445,0.02344
2015-09,ZAR,ZA,18.962763,0.02344
2015-09,AUD,AU,1.574633,0.02344
2015-09,CAD,CA,1.385214,0.02344
2015-10,INR,IN,81.893288,0.02395
2015-10,CNY,CN,7.235541,0.02395
2015-10,USD,US,1.026435,0.02395
2015-10,EUR,DE,0.892325,0.02395
2015-10,JPY,JP,145.910879,0.02395
2015-10,VND,VN,25418.26574,0.02395
2015-10,BRL,BR,4.939313,0.02395
2015-10,KRW,KR,1279.661217,0.02395
2015-10,MXN,MX,17.234101,0.02395
2015-10,THB,TH,34.793885,0.02395
2015-10,PLN,PL,4.081952,0.02395
2015-10,TRY,TR,27.366864,0.02395
2015-10,ZAR,ZA,19.221896,0.02395
2015-10,AUD,AU,1.562109,0.02395
2015-10,CAD,CA,1.385963,0.02395
2015-11,INR,IN,82.440623,0.02391
2015-11,CNY,CN,7.184119,0.02391
2015-11,USD,US,1.046161,0.02391
2015-11,EUR,DE,0.885658,0.02391
2015-11,JPY,JP,146.538826,0.02391
2015-11,VND,VN,25331.724185,0.02391
2015-11,BRL,BR,4.857939,0.02391
2015-11,KRW,KR,1302.490005,0.02391
2015-11,MXN,MX,17.185974,0.02391
2015-11,THB,TH,34.586848,0.02391
2015-11,PLN,PL,4.093527,0.02391
2015-11,TRY,TR,27.610998,0.02391
2015-11,ZAR,ZA,18.887932,0.02391
2015-11,AUD,AU,1.55856,0.02391
2015-11,CAD,CA,1.379733,0.02391
2015-12,INR,IN,81.474103,0.02331
2015-12,CNY,CN,7.221243,0.02331
2015-12,USD,US,1.023572,0.02331
2015-12,EUR,DE,0.89187,0.02331
2015-12,JPY,JP,146.546339,0.02331
2015-12,VND,VN,25253.542424,0.02331
2015-12,BRL,BR,4.929435,0.02331
2015-12,KRW,KR,1261.102624,0.02331
2015-12,MXN,MX,17.081006,0.02331
2015-12,THB,TH,34.984408,0.02331
2015-12,PLN,PL,4.060212,0.02331
2015-12,TRY,TR,28.0731,0.02331
2015-12,ZAR,ZA,18.866262,0.02331
2015-12,AUD,AU,1.57778,0.02331
2015-12,CAD,CA,1.381287,0.02331
2016-01,INR,IN,82.325216,0.02219
2016-01,CNY,CN,7.206684,0.02219
2016-01,USD,US,1.040162,0.02219
2016-01,EUR,DE,0.877041,0.02219
2016-01,JPY,JP,145.101062,0.02219
2016-01,VND,VN,25298.438632,0.02219
2016-01,BRL,BR,4.834443,0.02219
2016-01,KRW,KR,1264.177372,0.02219
2016-01,MXN,MX,17.07846,0.02219
2016-01,THB,TH,34.712863,0.02219
2016-01,PLN,PL,4.031827,0.02219
2016-01,TRY,TR,27.788616,0.02219
2016-01,ZAR,ZA,18.880694,0.02219
2016-01,AUD,AU,1.583865,0.02219
2016-01,CAD,CA,1.375687,0.02219
2016-02,INR,IN,81.768568,0.02055
2016-02,CNY,CN,7.149413,0.02055
2016-02,USD,US,1.036316,0.02055
2016-02,EUR,DE,0.892756,0.02055
2016-02,JPY,JP,145.317474,0.02055
2016-02,VND,VN,25580.730409,0.02055
2016-02,BRL,BR,4.923246,0.02055
2016-02,KRW,KR,1270.39778,0.02055
2016-02,MXN,MX,17.012717,0.02055
2016-02,THB,TH,34.536727,0.02055
2016-02,PLN,PL,4.053811,0.02055
2016-02,TRY,TR,28.063876,0.02055
2016-02,ZAR,ZA,18.922642,0.02055
2016-02,AUD,AU,1.560426,0.02055
2016-02,CAD,CA,1.379772,0.02055
2016-03,INR,IN,82.537194,0.01846
2016-03,CNY,CN,7.083902,0.01846
2016-03,USD,US,1.03514,0.01846
2016-03,EUR,DE,0.889582,0.01846
2016-03,JPY,JP,145.075084,0.01846
2016-03,VND,VN,25210.462998,0.01846
2016-03,BRL,BR,4.767173,0.01846
2016-03,KRW,KR,1285.560165,0.01846
2016-03,MXN,MX,17.121681,0.01846
2016-03,THB,TH,34.836128,0.01846
2016-03,PLN,PL,4.038941,0.01846
2016-03,TRY,TR,28.001385,0.01846
2016-03,ZAR,ZA,18.761674,0.01846
2016-03,AUD,AU,1.57345,0.01846
2016-03,CAD,CA,1.37939,0.01846
2016-04,INR,IN,81.86512,0.01597
2016-04,CNY,CN,7.130787,0.01597
2016-04,USD,US,1.025802,0.01597
2016-04,EUR,DE,0.887766,0.01597
2016-04,JPY,JP,143.693743,0.01597
2016-04,VND,VN,25457.300808,0.01597
2016-04,BRL,BR,4.810968,0.01597
2016-04,KRW,KR,1283.709429,0.01597
2016-04,MXN,MX,16.976802,0.01597
2016-04,THB,TH,33.99526,0.01597
2016-04,PLN,PL,4.004272,0.01597
2016-04,TRY,TR,27.503507,0.01597
2016-04,ZAR,ZA,19.049822,0.01597
2016-04,AUD,AU,1.589687,0.01597
2016-04,CAD,CA,1.372964,0.01597
2016-05,INR,IN,82.437001,0.01315
2016-05,CNY,CN,7.160558,0.01315
2016-05,USD,US,1.025123,0.01315
2016-05,EUR,DE,0.898784,0.01315
2016-05,JPY,JP,144.468262,0.01315
2016-05,VND,VN,25153.882855,0.01315
2016-05,BRL,BR,4.843684,0.01315
2016-05,KRW,KR,1289.952006,0.01315
2016-05,MXN,MX,17.047211,0.01315
2016-05,THB,TH,33.915095,0.01315
2016-05,PLN,PL,3.969978,0.01315
2016-05,TRY,TR,27.52526,0.01315
2016-05,ZAR,ZA,18.870323,0.01315
2016-05,AUD,AU,1.575939,0.01315
2016-05,CAD,CA,1.378713,0.01315
2016-06,INR,IN,82.234515,0.01007
2016-06,CNY,CN,7.075127,0.01007
2016-06,USD,US,1.027708,0.01007
2016-06,EUR,DE,0.889094,0.01007
2016-06,JPY,JP,144.138758,0.01007
2016-06,VND,VN,25179.779651,0.01007
2016-06,BRL,BR,4.725237,0.01007
2016-06,KRW,KR,1277.927111,0.01007
2016-06,MXN,MX,16.873368,0.01007
2016-06,THB,TH,34.494547,0.01007
2016-06,PLN,PL,3.937499,0.01007
2016-06,TRY,TR,27.803932,0.01007
2016-06,ZAR,ZA,18.641792,0.01007
2016-06,AUD,AU,1.575315,0.01007
2016-06,CAD,CA,1.366956,0.01007
2016-07,INR,IN,82.438544,0.00682
2016-07,CNY,CN,7.063628,0.00682
2016-07,USD,US,1.016366,0.00682
2016-07,EUR,DE,0.894965,0.00682
2016-07,JPY,JP,146.370211,0.00682
2016-07,VND,VN,25203.084342,0.00682
2016-07,BRL,BR,4.873796,0.00682
2016-07,KRW,KR,1282.048505,0.00682
2016-07,MXN,MX,16.880523,0.00682
2016-07,THB,TH,33.96897,0.00682
2016-07,PLN,PL,3.975648,0.00682
2016-07,TRY,TR,27.933002,0.00682
2016-07,ZAR,ZA,18.73032,0.00682
2016-07,AUD,AU,1.578855,0.00682
2016-07,CAD,CA,1.355487,0.00682
2016-08,INR,IN,83.717021,0.0045
2016-08,CNY,CN,7.001362,0.0045
2016-08,USD,US,1.01809,0.0045
2016-08,EUR,DE,0.887123,0.0045
2016-08,JPY,JP,144.006643,0.0045
2016-08,VND,VN,24933.943378,0.0045
2016-08,BRL,BR,4.796643,0.0045
2016-08,KRW,KR,1276.552719,0.0045
2016-08,MXN,MX,16.584596,0.0045
2016-08,THB,TH,33.934733,0.0045
2016-08,PLN,PL,3.958179,0.0045
2016-08,TRY,TR,27.986847,0.0045
2016-08,ZAR,ZA,18.432151,0.0045
2016-08,AUD,AU,1.587632,0.0045
2016-08,CAD,CA,1.373031,0.0045
2016-09,INR,IN,83.992097,0.00781
2016-09,CNY,CN,7.090264,0.00781
2016-09,USD,US,1.016351,0.00781
2016-09,EUR,DE,0.896037,0.00781
2016-09,JPY,JP,141.933805,0.00781
2016-09,VND,VN,25434.157208,0.00781
2016-09,BRL,BR,4.845102,0.00781
2016-09,KRW,KR,1300.147262,0.00781
2016-09,MXN,MX,16.743146,0.00781
