date,entity_type,entity_id,revenue_usd,cost_usd,gross_margin,operating_expenses,ebitda,net_profit,cash_flow,accounts_receivable,accounts_payable,inventory_value,working_capital,roi_percent
2015-01,supplier,SUP-0001,221819.54,150053.64,32.353,27724.34,44041.56,31682.73,-41253.28,49876.93,21210.24,39810.78,60069.03,7.792
2015-01,supplier,SUP-0002,359972.64,291784.75,18.943,34000.7,34187.19,24812.52,56198.4,55329.93,43037.4,78977.56,29919.52,13.173
2015-01,supplier,SUP-0003,2556849.96,1825185.69,28.616,438089.42,293574.85,212443.62,-390158.51,317440.84,297412.51,348430.59,366309.74,27.144
2015-01,supplier,SUP-0004,3479810.18,2216543.75,36.303,182373.26,1080893.16,847991.6,-31725.21,740711.45,143425.11,777451.82,452671.37,30.721
2015-01,supplier,SUP-0005,2553874.74,1568155.04,38.597,199176.95,786542.75,680460.18,177175.29,597750.1,106272.15,233939.81,151393.04,18.512
2015-01,supplier,SUP-0006,1959800.98,1601332.52,18.291,153841.82,204626.64,107998.93,253776.41,476346.38,167231.28,525343.67,104181.19,10.021
2015-01,supplier,SUP-0007,1133346.07,797074.12,29.671,165394.23,170877.71,87115.71,82426.5,144415.52,80957.22,267986.06,205556.18,6.857
2015-01,supplier,SUP-0008,4207340.4,2428786.94,42.273,311247.22,1467306.24,1251671.05,822419.65,474398.81,262847.86,923000.84,682069.13,10.531
2015-01,supplier,SUP-0009,629404.17,533441.37,15.247,51554.8,44408.0,-4191.69,-60132.85,91016.3,99008.65,134471.02,50066.74,4.262
2015-01,supplier,SUP-0010,2654542.39,1667586.31,37.18,433263.86,553692.23,448512.05,-287540.83,332463.6,95144.82,299489.61,176259.17,29.396
2015-01,supplier,SUP-0011,624165.75,522007.22,16.367,73101.71,29056.82,-14435.75,-88365.57,138402.02,66721.11,134677.62,39884.41,30.061
2015-01,supplier,SUP-0012,1625853.41,1042218.62,35.897,168881.83,414752.97,314009.29,-270453.9,357955.37,127720.08,387062.49,353083.52,31.811
2015-01,supplier,SUP-0013,4650116.39,3886541.43,16.421,508399.95,255175.02,-110192.35,983453.19,423179.83,544592.49,712830.15,372906.75,7.352
2015-01,supplier,SUP-0014,4917607.53,3006625.61,38.86,768617.63,1142364.3,850776.28,-291417.31,753727.64,588315.26,804125.9,743170.43,15.649
2015-01,supplier,SUP-0015,1830205.0,1144568.23,37.462,209934.69,475702.08,354963.92,-277950.64,422074.18,78452.62,414068.71,201768.96,24.35
2015-01,supplier,SUP-0016,4158820.93,2315457.09,44.324,489113.38,1354250.46,1136567.32,879800.6,752756.91,454705.96,493809.21,316621.78,26.072
2015-01,supplier,SUP-0017,1598520.99,1083207.95,32.237,88799.33,426513.71,313679.92,33698.77,281692.5,160928.53,337408.46,206516.17,11.496
2015-01,supplier,SUP-0018,4550552.62,3968409.34,12.793,583349.3,-1206.02,-269032.69,-59487.32,271556.58,692813.97,1356255.48,728441.53,6.242
2015-01,supplier,SUP-0019,2907909.77,1786590.43,38.561,180748.14,940571.21,835789.53,165415.02,573523.12,178253.21,468994.93,850878.8,8.688
2015-01,supplier,SUP-0020,1059800.01,609328.52,42.505,79073.45,371398.04,311779.19,-75058.49,132356.81,91394.94,143005.89,84384.62,18.191
2015-01,supplier,SUP-0021,3513583.02,2781513.0,20.835,604148.28,127921.73,1294.96,228640.15,853515.23,504720.11,771513.37,383319.76,8.663
2015-01,supplier,SUP-0022,427274.35,295516.12,30.837,63648.45,68109.78,55673.01,-78126.86,98120.75,57815.41,73368.47,91226.05,27.328
2015-01,supplier,SUP-0023,2375824.36,1724148.75,27.429,201563.33,450112.27,355159.44,560432.3,124985.43,259358.13,311033.47,647978.27,31.605
2015-01,supplier,SUP-0024,4337270.85,3757739.11,13.362,345600.49,233931.24,-102430.96,417885.23,309905.14,699146.95,588544.72,913954.91,22.799
2015-01,supplier,SUP-0025,2797975.17,2212787.31,20.915,177626.11,407561.75,341871.89,-247875.59,186936.22,273632.48,472257.09,259820.52,6.103
2015-01,supplier,SUP-0026,2265849.3,1864689.46,17.705,260938.44,140221.4,53059.43,657389.22,114268.72,368292.36,307625.69,625168.87,24.875
2015-01,supplier,SUP-0027,1427612.74,1045026.48,26.799,90333.91,292252.35,224173.72,-195227.2,148974.97,57044.04,280790.17,379161.59,28.453
2015-01,supplier,SUP-0028,3254210.36,1930836.88,40.667,335206.49,988166.99,797456.22,199946.59,426481.93,307809.43,201524.43,608019.02,21.543
2015-01,supplier,SUP-0029,2786067.02,2247204.18,19.341,414607.11,124255.73,65988.67,523534.43,164446.45,270253.11,876423.15,478898.35,17.735
2015-01,supplier,SUP-0030,4711473.57,3228302.6,31.48,261479.93,1221691.05,1083539.44,1152677.2,855680.57,376856.47,480249.48,420730.46,28.388
2015-01,supplier,SUP-0031,4649131.09,2707481.08,41.764,483530.0,1458120.01,1112702.61,69130.0,449171.37,525470.39,518163.06,1000721.63,17.881
2015-01,supplier,SUP-0032,1760337.86,1355076.32,23.022,88046.81,317214.73,224436.65,409246.61,286634.21,105707.78,410042.78,474672.71,21.913
2015-01,supplier,SUP-0033,1566552.19,907148.47,42.093,211945.35,447458.37,360219.52,20940.24,244051.53,178180.19,293544.14,100805.97,12.085
2015-01,supplier,SUP-0034,885742.99,748556.7,15.488,122935.83,14250.46,-29699.35,228833.24,168265.46,148509.39,248399.4,162887.78,20.788
2015-01,supplier,SUP-0035,2942520.24,2303567.58,21.714,307085.1,331867.56,166429.97,-381264.59,671119.65,392471.92,699381.34,330446.02,9.282
2015-01,supplier,SUP-0036,2182874.33,1701081.8,22.071,122355.57,359436.96,303740.09,-45447.37,215499.68,194934.14,484604.42,489654.07,31.987
2015-01,supplier,SUP-0037,1514183.68,1326621.5,12.387,87092.73,100469.45,24306.6,88459.95,336011.8,202274.92,499782.35,107328.13,19.814
2015-01,supplier,SUP-0038,494248.6,280212.45,43.305,36549.82,177486.33,138381.84,110384.17,78936.5,45882.63,63375.36,118901.34,23.416
2015-01,supplier,SUP-0039,3018439.12,2308218.86,23.529,226205.43,484014.83,267464.31,459721.7,466884.57,181299.85,555272.24,737311.92,20.525
2015-01,supplier,SUP-0040,1497044.16,1204090.01,19.569,236162.58,56791.58,-53815.28,20810.66,294294.25,147117.28,348589.18,412566.34,26.638
2015-01,supplier,SUP-0041,1230064.63,837551.74,31.91,69821.44,322691.45,291725.74,115497.8,212801.15,130771.02,166788.4,250542.01,9.2
2015-01,supplier,SUP-0042,2351724.19,1823774.52,22.449,394601.61,133348.05,474.29,69142.18,534285.0,119794.42,716817.88,226078.69,25.859
2015-01,supplier,SUP-0043,4523935.74,3911368.21,13.541,251013.82,361553.71,188406.98,754169.18,694844.52,555956.74,512510.24,832676.83,24.64
2015-01,supplier,SUP-0044,2411566.18,1669340.32,30.778,182232.52,559993.34,426599.98,-449182.6,300322.06,123697.9,262148.19,623883.86,28.888
