date,year,month,quarter,country_code,commodity_code,country,commodity,unit,price_usd,price_local_currency,currency_code,exchange_rate,volume_traded,market_volatility_index,economic_cycle_phase,price_change_pct,is_anomaly
2015-01,2015,1,1,IN,STL,India,Steel,USD/ton,252.3203,20919.3924,INR,82.908084,1798,20.375,expansion,-43.929,true
2015-01,2015,1,1,IN,COP,India,Copper,USD/ton,3439.5084,287598.0295,INR,83.616028,87954,22.244,expansion,-40.698,true
2015-01,2015,1,1,IN,PLA,India,Plastic,USD/ton,873.5781,73421.4318,INR,84.046786,37543,11.204,expansion,-20.584,true
2015-01,2015,1,1,IN,CTN,India,Cotton,USD/ton,1211.4637,98958.8264,INR,81.685344,17646,12.733,expansion,-19.236,true
2015-01,2015,1,1,IN,SLC,India,Silicon,USD/ton,1767.1644,146957.1901,INR,83.159885,12907,15.886,expansion,-19.674,true
2015-01,2015,1,1,IN,ALM,India,Aluminum,USD/ton,1050.7951,88138.0309,INR,83.877469,43651,20.643,expansion,-44.695,true
2015-01,2015,1,1,IN,LIT,India,Lithium,USD/ton,12290.1245,1028562.0005,INR,83.690121,27747,21.323,expansion,-18.066,true
2015-01,2015,1,1,IN,NIC,India,Nickel,USD/ton,7603.433,628527.7929,INR,82.663685,8115,27.991,expansion,-45.69,true
2015-01,2015,1,1,IN,REE,India,Rare Earth,USD/ton,36728.1708,3108603.9806,INR,84.638138,23753,24.434,expansion,-18.382,true
2015-01,2015,1,1,IN,SEM,India,Semiconductors,USD/unit,4.4571,369.2919,INR,82.85543,35611,16.637,expansion,-18.962,true
2015-01,2015,1,1,IN,RBR,India,Rubber,USD/ton,1105.2675,92274.9731,INR,83.486556,40114,13.368,expansion,-21.052,true
2015-01,2015,1,1,IN,TIM,India,Timber,USD/m³,286.7166,24547.8525,INR,85.617138,27006,13.328,expansion,-18.081,true
2015-01,2015,1,1,IN,CEM,India,Cement,USD/ton,97.298,8066.2845,INR,82.902921,1167,10.621,expansion,-18.918,true
2015-01,2015,1,1,IN,GLS,India,Glass,USD/ton,643.9838,54067.7259,INR,83.958213,8573,11.826,expansion,-19.502,true
2015-01,2015,1,1,IN,PAP,India,Paper,USD/ton,518.5615,42930.4491,INR,82.787583,28225,11.077,expansion,-20.221,true
2015-01,2015,1,1,CN,STL,China,Steel,USD/ton,272.2926,1943.0791,CNY,7.135998,8100,18.822,expansion,-39.491,true
2015-01,2015,1,1,CN,COP,China,Copper,USD/ton,3640.894,25916.9503,CNY,7.118293,93079,21.029,expansion,-37.226,true
2015-01,2015,1,1,CN,PLA,China,Plastic,USD/ton,942.3393,6726.7051,CNY,7.138305,32998,9.016,expansion,-14.333,false
2015-01,2015,1,1,CN,CTN,China,Cotton,USD/ton,1285.855,9183.2629,CNY,7.141756,46345,10.997,expansion,-14.276,false
2015-01,2015,1,1,CN,SLC,China,Silicon,USD/ton,1927.3174,13905.5873,CNY,7.214996,26050,13.338,expansion,-12.395,false
2015-01,2015,1,1,CN,ALM,China,Aluminum,USD/ton,1125.4553,7927.9574,CNY,7.044222,5973,19.268,expansion,-40.766,true
2015-01,2015,1,1,CN,LIT,China,Lithium,USD/ton,11975.7737,85741.2597,CNY,7.159559,36594,22.057,expansion,-20.162,true
2015-01,2015,1,1,CN,NIC,China,Nickel,USD/ton,8434.0426,59675.8631,CNY,7.075594,13050,25.915,expansion,-39.757,true
2015-01,2015,1,1,CN,REE,China,Rare Earth,USD/ton,38359.1781,275300.2931,CNY,7.176908,44419,23.165,expansion,-14.757,false
2015-01,2015,1,1,CN,SEM,China,Semiconductors,USD/unit,4.6488,33.1118,CNY,7.122698,35062,15.417,expansion,-15.477,false
2015-01,2015,1,1,CN,RBR,China,Rubber,USD/ton,1165.1418,8304.9345,CNY,7.127831,24848,11.871,expansion,-16.776,false
2015-01,2015,1,1,CN,TIM,China,Timber,USD/m³,299.1401,2149.8803,CNY,7.186867,34586,12.086,expansion,-14.531,false
2015-01,2015,1,1,CN,CEM,China,Cement,USD/ton,101.2299,722.4184,CNY,7.136413,23616,9.475,expansion,-15.642,false
2015-01,2015,1,1,CN,GLS,China,Glass,USD/ton,684.196,4898.7379,CNY,7.159846,48154,10.066,expansion,-14.475,false
2015-01,2015,1,1,CN,PAP,China,Paper,USD/ton,554.1232,3899.9155,CNY,7.037993,47663,9.163,expansion,-14.75,false
2015-01,2015,1,1,US,STL,United States,Steel,USD/ton,350.4323,357.24,USD,1.019426,1334,12.744,expansion,-22.126,true
2015-01,2015,1,1,US,COP,United States,Copper,USD/ton,4863.1247,4911.0694,USD,1.009859,87265,13.654,expansion,-16.153,false
2015-01,2015,1,1,US,PLA,United States,Plastic,USD/ton,1256.4653,1272.4445,USD,1.012718,46901,8.978,expansion,14.224,false
2015-01,2015,1,1,US,CTN,United States,Cotton,USD/ton,1696.9195,1723.5026,USD,1.015666,2399,10.595,expansion,13.128,false
2015-01,2015,1,1,US,SLC,United States,Silicon,USD/ton,2439.7833,2419.7679,USD,0.991796,42064,12.815,expansion,10.899,false
2015-01,2015,1,1,US,ALM,United States,Aluminum,USD/ton,1528.0694,1548.3995,USD,1.013304,34330,11.851,expansion,-19.575,true
2015-01,2015,1,1,US,LIT,United States,Lithium,USD/ton,17858.8822,17969.7999,USD,1.006211,44288,21.671,expansion,19.059,true
2015-01,2015,1,1,US,NIC,United States,Nickel,USD/ton,11055.3264,11184.8377,USD,1.011715,21822,19.362,expansion,-21.033,true
2015-01,2015,1,1,US,REE,United States,Rare Earth,USD/ton,47607.839,47442.3319,USD,0.996524,17734,20.028,expansion,5.795,false
2015-01,2015,1,1,US,SEM,United States,Semiconductors,USD/unit,6.2242,6.3164,USD,1.014823,32431,14.608,expansion,13.167,false
2015-01,2015,1,1,US,RBR,United States,Rubber,USD/ton,1563.2689,1557.2374,USD,0.996142,16311,10.082,expansion,11.662,false
2015-01,2015,1,1,US,TIM,United States,Timber,USD/m³,402.7412,401.1867,USD,0.99614,28283,12.274,expansion,15.069,false
2015-01,2015,1,1,US,CEM,United States,Cement,USD/ton,135.0914,134.6213,USD,0.99652,2498,8.402,expansion,12.576,false
2015-01,2015,1,1,US,GLS,United States,Glass,USD/ton,916.4484,915.1676,USD,0.998602,14448,10.095,expansion,14.556,false
2015-01,2015,1,1,US,PAP,United States,Paper,USD/ton,738.4783,748.1697,USD,1.013124,40112,8.764,expansion,13.612,false
2015-01,2015,1,1,DE,STL,Germany,Steel,USD/ton,342.9736,316.5784,EUR,0.92304,41070,13.324,expansion,-23.784,true
2015-01,2015,1,1,DE,COP,Germany,Copper,USD/ton,4725.701,4408.3793,EUR,0.932852,19300,14.483,expansion,-18.522,true
2015-01,2015,1,1,DE,PLA,Germany,Plastic,USD/ton,1238.353,1128.2095,EUR,0.911056,12262,8.402,expansion,12.578,false
2015-01,2015,1,1,DE,CTN,Germany,Cotton,USD/ton,1661.1907,1548.295,EUR,0.932039,31833,9.761,expansion,10.746,false
2015-01,2015,1,1,DE,SLC,Germany,Silicon,USD/ton,2496.7548,2310.5362,EUR,0.925416,30025,13.721,expansion,13.489,false
2015-01,2015,1,1,DE,ALM,Germany,Aluminum,USD/ton,1447.5635,1335.4308,EUR,0.922537,46928,13.334,expansion,-23.812,true
2015-01,2015,1,1,DE,LIT,Germany,Lithium,USD/ton,16142.0116,15019.1321,EUR,0.930437,26232,17.665,expansion,7.613,false
2015-01,2015,1,1,DE,NIC,Germany,Nickel,USD/ton,10732.9264,9964.3325,EUR,0.928389,32166,20.168,expansion,-23.336,true
2015-01,2015,1,1,DE,REE,Germany,Rare Earth,USD/ton,48956.9806,45581.3801,EUR,0.93105,34668,21.078,expansion,8.793,false
2015-01,2015,1,1,DE,SEM,Germany,Semiconductors,USD/unit,5.8226,5.3844,EUR,0.924742,30830,12.053,expansion,5.865,false
2015-01,2015,1,1,DE,RBR,Germany,Rubber,USD/ton,1545.7185,1414.255,EUR,0.91495,44571,9.643,expansion,10.408,false
2015-01,2015,1,1,DE,TIM,Germany,Timber,USD/m³,385.3785,354.8646,EUR,0.920821,13306,10.538,expansion,10.108,false
2015-01,2015,1,1,DE,CEM,Germany,Cement,USD/ton,133.2655,123.1457,EUR,0.924063,21745,7.869,expansion,11.055,false
2015-01,2015,1,1,DE,GLS,Germany,Glass,USD/ton,871.8659,811.2163,EUR,0.930437,29222,8.144,expansion,8.983,false
2015-01,2015,1,1,DE,PAP,Germany,Paper,USD/ton,730.4554,671.6008,EUR,0.919428,9784,8.332,expansion,12.378,false
2015-01,2015,1,1,JP,STL,Japan,Steel,USD/ton,331.3316,50067.1009,JPY,151.108745,33777,14.23,expansion,-26.371,true
2015-01,2015,1,1,JP,COP,Japan,Copper,USD/ton,4585.5849,675301.1523,JPY,147.266088,107147,15.328,expansion,-20.938,true
2015-01,2015,1,1,JP,PLA,Japan,Plastic,USD/ton,1176.1167,178078.3137,JPY,151.412108,18780,6.422,expansion,6.92,false
2015-01,2015,1,1,JP,CTN,Japan,Cotton,USD/ton,1616.9556,242828.4617,JPY,150.176333,31427,8.729,expansion,7.797,false
2015-01,2015,1,1,JP,SLC,Japan,Silicon,USD/ton,2426.0109,363558.478,JPY,149.858549,32330,12.596,expansion,10.273,false
2015-01,2015,1,1,JP,ALM,Japan,Aluminum,USD/ton,1465.1776,219238.7037,JPY,149.632857,11789,13.01,expansion,-22.885,true
2015-01,2015,1,1,JP,LIT,Japan,Lithium,USD/ton,15457.5796,2309997.8357,JPY,149.441109,20616,16.068,expansion,3.051,false
2015-01,2015,1,1,JP,NIC,Japan,Nickel,USD/ton,10031.9111,1516798.7749,JPY,151.19739,13922,21.92,expansion,-28.343,true
2015-01,2015,1,1,JP,REE,Japan,Rare Earth,USD/ton,49983.9887,7440873.212,JPY,148.865135,26113,21.876,expansion,11.076,false
2015-01,2015,1,1,JP,SEM,Japan,Semiconductors,USD/unit,5.8472,873.734,JPY,149.426726,5574,12.21,expansion,6.313,false
2015-01,2015,1,1,JP,RBR,Japan,Rubber,USD/ton,1539.8428,232492.8081,JPY,150.984767,32076,9.496,expansion,9.989,false
2015-01,2015,1,1,JP,TIM,Japan,Timber,USD/m³,367.2513,54983.9365,JPY,149.717482,41055,8.725,expansion,4.929,false
2015-01,2015,1,1,JP,CEM,Japan,Cement,USD/ton,128.7235,19244.1344,JPY,149.499813,17586,6.544,expansion,7.27,false
2015-01,2015,1,1,JP,GLS,Japan,Glass,USD/ton,841.8187,126392.5656,JPY,150.142271,2127,6.83,expansion,5.227,false
2015-01,2015,1,1,JP,PAP,Japan,Paper,USD/ton,712.1095,107990.6383,JPY,151.648916,35619,7.344,expansion,9.555,false
2015-01,2015,1,1,VN,STL,Vietnam,Steel,USD/ton,254.8414,6310166.5412,VND,24761.151413,38603,20.179,expansion,-43.369,true
2015-01,2015,1,1,VN,COP,Vietnam,Copper,USD/ton,3424.8969,83647067.6558,VND,24423.236441,21882,22.333,expansion,-40.95,true
