order_id,date,order_date,customer_id,supplier_id,commodity_code,commodity,country_code,country,quantity,unit_price_usd,total_usd,currency_code,exchange_rate,expected_delivery_date,actual_delivery_date,lead_time_days,delay_days,status,payment_status,quality_inspection_result,returned_quantity,return_reason,shipment_mode,incoterms,port_of_origin,port_of_destination,priority_level,discount_percent,tax_amount,insurance_amount,tracking_number,carrier_name,notes,payment_terms,is_delayed,is_anomaly
PO-100000,2015-08-03,2015-08-03,CUS-0078,SUP-0052,COP,Copper,IN,India,73841,5370.7091,396578527.71,INR,81.140107,2015-10-17,2015-11-30,75,44,delayed,Paid,passed,0,,Air,FOB,IN-PORT-4,DEST-06,critical,3.35,61172114.98,3999182.3,TRK-10000000,DHL,force majeure review,Net 90,true,false
PO-100001,2015-12-27,2015-12-27,CUS-0002,SUP-0001,STL,Steel,CN,China,52228,375.4018,19606483.63,CNY,6.942435,2016-03-18,2016-04-23,82,36,delayed,Paid,passed,0,,Sea,DDP,CN-PORT-3,DEST-01,critical,10.93,3287220.51,384734.57,TRK-10000001,Kuehne+Nagel,force majeure review,Net 30,true,false
PO-100002,2015-08-30,2015-08-30,CUS-0191,SUP-0004,CTN,Cotton,CN,China,103603,1357.76,140668004.95,CNY,6.906339,2015-12-13,2016-01-20,105,38,delayed,Paid,passed,0,,Sea,CIF,CN-PORT-3,DEST-04,critical,6.3,8605161.15,2691466.59,TRK-10000002,Maersk,force majeure review,Net 45,true,false
PO-100003,2015-08-17,2015-08-17,CUS-0019,SUP-0015,COP,Copper,CN,China,64058,4904.3796,314164745.85,CNY,6.970969,2015-10-06,2015-11-30,50,55,delayed,Paid,passed,0,,Sea,EXW,CN-PORT-4,DEST-01,critical,4.14,34375887.33,3473562.55,TRK-10000003,DHL,force majeure review,Net 90,true,false
PO-100004,2015-12-14,2015-12-14,CUS-0021,SUP-0176,RBR,Rubber,TH,Thailand,115752,1183.1862,136956170.64,THB,34.503725,2016-02-20,2016-04-16,68,56,delayed,Paid,passed,0,,Sea,DDP,TH-PORT-3,DEST-08,critical,2.8,14853756.79,1218076.46,TRK-10000004,Maersk,force majeure review,Net 45,true,false
PO-100005,2015-05-13,2015-05-13,CUS-0120,SUP-0004,COP,Copper,CN,China,91560,4958.1958,453972403.26,CNY,7.135311,2015-08-20,2015-09-25,99,36,delayed,Paid,passed,0,,Road,FCA,CN-PORT-3,DEST-09,critical,10.26,59086691.76,4982144.12,TRK-10000005,Kuehne+Nagel,force majeure review,Net 45,true,false
PO-100006,2015-09-09,2015-09-09,CUS-0126,SUP-0162,REE,Rare Earth,MX,Mexico,94795,56056.9998,5313923300.02,MXN,16.975749,2015-12-08,2016-01-31,90,54,delayed,Paid,passed,0,,Road,DDP,MX-PORT-2,DEST-03,critical,2.02,320501325.17,95779604.17,TRK-10000006,Kuehne+Nagel,force majeure review,Net 45,true,false
PO-100007,2015-10-29,2015-10-29,CUS-0272,SUP-0004,NIC,Nickel,CN,China,119267,11963.4853,1426849006.6,CNY,6.970179,2016-02-07,2016-03-19,101,41,delayed,Paid,passed,0,,Sea,DAP,CN-PORT-3,DEST-06,critical,7.56,42575422.14,23602398.91,TRK-10000007,FedEx,force majeure review,Net 45,true,true
PO-100008,2015-09-14,2015-09-14,CUS-0276,SUP-0112,SLC,Silicon,JP,Japan,69168,2604.1741,180125517.58,JPY,147.775889,2015-12-02,2016-01-24,79,53,delayed,Paid,passed,0,,Air,DDP,JP-PORT-2,DEST-07,critical,9.86,31541904.38,3063034.36,TRK-10000008,DB Schenker,force majeure review,Net 60,true,false
PO-100009,2015-04-07,2015-04-07,CUS-0291,SUP-0153,CTN,Cotton,BR,Brazil,115294,1193.7045,137626966.63,BRL,4.987559,2015-08-05,2015-09-20,120,46,delayed,Pending,passed,0,,Road,FOB,BR-PORT-3,DEST-03,critical,8.93,11561309.1,1828954.3,TRK-10000009,Kuehne+Nagel,force majeure review,Net 30,true,false
