date,supplier_id,country_code,quality_score,delivery_score,cost_score,sustainability_score,overall_score,response_time_hours,on_time_delivery_rate,on_time_delivery,order_accuracy,fill_rate,defect_rate_ppm,defect_rate_pct,response_rate,dispute_count,escalation_count,avg_resolution_days,orders_count,revenue_generated,kpi_compliance,audit_score,incidents_count
2015-01,SUP-0001,CN,94.35,91.55,70.18,58.05,78.53,25.4,91.55,91.55,93.2,92.28,9619,0.962,87.08,0,0,3.72,38,1344396.89,79.77,90.51,0
2015-01,SUP-0002,CN,80.16,86.5,86.45,66.68,79.95,33.1,86.5,86.5,80.24,85.86,21820,2.182,82.16,1,0,7.24,7,199010.3,81.59,80.77,1
2015-01,SUP-0003,CN,96.47,74.57,63.91,68.72,75.92,47.9,74.57,74.57,95.31,72.43,12908,1.291,75.65,0,0,3.16,41,1925460.81,78.79,100,0
2015-01,SUP-0004,CN,82.8,90.35,75.7,63.35,78.05,5.7,90.35,90.35,79.93,92.06,14970,1.497,96.01,0,1,12.35,60,1384432.4,80.4,76.59,0
2015-01,SUP-0005,CN,98.21,74.94,78.93,76.63,82.18,15.9,74.94,74.94,93.17,75.8,4849,0.485,89.17,0,0,11.35,24,248933.26,77.62,95.18,0
2015-01,SUP-0006,CN,98.14,92.02,78.35,67.89,84.1,25.4,92.02,92.02,95.75,93.41,9635,0.963,91.18,0,0,9.83,19,651782.27,85.13,93.6,0
2015-01,SUP-0007,CN,93.39,100,89.99,58.05,85.36,31.6,100,100,93.93,98.99,5705,0.57,82.17,0,0,2.91,49,1569809.11,88.91,98.31,0
2015-01,SUP-0008,CN,88.14,93.83,77.84,67.3,81.78,31.0,93.83,93.83,88.71,94.12,17319,1.732,83.69,1,0,1.63,66,1414156.3,82.89,95.76,0
2015-01,SUP-0009,CN,91.51,80.23,65.42,77.24,78.6,51.4,80.23,80.23,94.61,78.88,11891,1.189,74.29,0,0,4.36,17,1735935.65,82.2,100,0
2015-01,SUP-0010,CN,78.35,76.58,78.72,83.3,79.24,4.3,76.58,76.58,79.08,73.83,21425,2.143,96.74,2,0,4.92,64,1096125.86,83.16,69.49,0
2015-01,SUP-0011,CN,99.13,91.63,76.68,70.11,84.39,50.0,91.63,91.63,99.91,89.31,8909,0.891,73.22,0,0,1.45,76,1344063.89,84.12,96.87,0
2015-01,SUP-0012,CN,85.75,82.04,63.87,75.77,76.86,12.1,82.04,82.04,84.77,81.26,18895,1.889,92.27,0,0,3.95,23,240922.75,79.18,92.7,0
2015-01,SUP-0013,CN,97.83,89.06,79.01,73.13,84.76,36.7,89.06,89.06,95.12,89.06,7757,0.776,78.86,0,0,7.67,8,414927.58,90.48,89.64,0
2015-01,SUP-0014,CN,94.83,90.33,72.88,91.33,87.34,27.7,90.33,90.33,92.94,90.89,5638,0.564,86.64,0,0,12.38,67,1910343.01,86.31,99.21,0
2015-01,SUP-0015,CN,100,83.76,74.51,68.53,81.7,19.1,83.76,83.76,96.94,87.75,9304,0.93,88.64,1,0,8.31,75,468765.01,76.91,100,0
