date,country_code,country,gdp_growth,gdp_growth_rate,inflation,inflation_rate,interest_rate,industrial_production_index,unemployment_rate,manufacturing_pmi,retail_sales_index,consumer_confidence,business_confidence,exchange_rate_usd,trade_balance_usd,government_debt_percent_gdp,credit_rating,stock_market_index,oil_price_usd,gold_price_usd
2015-01,IN,India,2.871,2.871,5.953,5.953,5.63,79.309,5.825,57.256,102.397,68.835,72.315,83.235193,-8169202.37,92.935,A,1038.354,55.0,1200.0
2015-01,CN,China,2.478,2.478,1.97,1.97,4.145,95.661,6.162,56.141,100.993,66.589,69.788,7.125744,56995025.99,63.912,AA,1015.894,55.0,1200.0
2015-01,US,United States,2.34,2.34,3.607,3.607,4.865,88.307,6.28,55.099,100.499,65.799,68.899,0.998219,67064830.37,118.721,BBB,1007.987,55.0,1200.0
2015-01,DE,Germany,2.745,2.745,2.973,2.973,4.46,93.254,5.933,57.326,101.947,68.115,71.505,0.92435,47951827.44,29.915,BB,1031.153,55.0,1200.0
2015-01,JP,Japan,2.614,2.614,2.702,2.702,4.37,90.931,6.045,56.569,101.478,67.364,70.66,151.479282,65397339.59,94.224,A,1023.642,55.0,1200.0
2015-01,VN,Vietnam,0.831,0.831,3.431,3.431,4.685,69.537,7.573,46.757,95.112,57.18,59.202,24711.322835,48372525.73,113.57,AA,921.798,55.0,1200.0
2015-01,BR,Brazil,3.297,3.297,4.582,4.582,5.27,69.864,5.46,58.883,103.917,71.267,75.05,4.965601,28922124.22,55.369,AA,1062.666,55.0,1200.0
2015-01,KR,South Korea,3.378,3.378,3.607,3.607,4.82,91.621,5.39,60.34,104.207,71.732,75.573,1348.779905,64467431.78,48.287,BBB,1067.318,55.0,1200.0
2015-01,MX,Mexico,3.596,3.596,4.572,4.572,5.315,76.584,5.203,60.682,104.987,72.98,76.977,17.308452,45036443.47,55.19,AA,1079.8,55.0,1200.0
2015-01,TH,Thailand,3.332,3.332,1.104,1.104,3.74,73.009,5.43,59.209,104.042,71.468,75.276,35.807,45327590.47,103.596,A,1064.68,55.0,1200.0
