item_id,item_name,commodity_code,category,country_code,warehouse_location,on_hand,reorder_point,lead_time_days,unit_cost,stockout_risk,last_updated
INV-IN-STL,Steel,STL,Metals,IN,IN-WH-2,3213,10404,14,450,High,2024-12-31
INV-IN-COP,Copper,COP,Metals,IN,IN-WH-4,39540,8339,49,5800,Low,2024-12-31
INV-IN-PLA,Plastic,PLA,Polymers,IN,IN-WH-4,31569,11563,10,1100,Low,2024-12-31
INV-IN-CTN,Cotton,CTN,Textiles,IN,IN-WH-1,38510,12424,56,1500,Low,2024-12-31
INV-IN-SLC,Silicon,SLC,Electronics,IN,IN-WH-4,16071,15921,61,2200,Medium,2024-12-31
INV-IN-ALM,Aluminum,ALM,Metals,IN,IN-WH-1,44862,3934,21,1900,Low,2024-12-31
INV-IN-LIT,Lithium,LIT,Battery,IN,IN-WH-4,17736,8363,7,15000,Low,2024-12-31
INV-IN-NIC,Nickel,NIC,Battery,IN,IN-WH-4,29464,15008,17,14000,Low,2024-12-31
INV-IN-REE,Rare Earth,REE,Electronics,IN,IN-WH-3,23963,17266,53,45000,Medium,2024-12-31
INV-IN-SEM,Semiconductors,SEM,Electronics,IN,IN-WH-3,34731,5941,38,5.5,Low,2024-12-31
INV-IN-RBR,Rubber,RBR,Polymers,IN,IN-WH-4,21777,4802,27,1400,Low,2024-12-31
INV-IN-TIM,Timber,TIM,Construction,IN,IN-WH-1,47807,7436,57,350,Low,2024-12-31
INV-IN-CEM,Cement,CEM,Construction,IN,IN-WH-2,32487,11190,9,120,Low,2024-12-31
INV-IN-GLS,Glass,GLS,Construction,IN,IN-WH-1,2170,5873,32,800,High,2024-12-31
INV-IN-PAP,Paper,PAP,Packaging,IN,IN-WH-3,17867,12823,57,650,Medium,2024-12-31
INV-CN-STL,Steel,STL,Metals,CN,CN-WH-3,1968,16697,54,450,High,2024-12-31
INV-CN-COP,Copper,COP,Metals,CN,CN-WH-1,9531,7851,63,5800,Medium,2024-12-31
INV-CN-PLA,Plastic,PLA,Polymers,CN,CN-WH-4,24067,5902,63,1100,Low,2024-12-31
