date,country_code,supplier_id,financial_risk,operational_risk,geopolitical_risk,compliance_risk,cyber_risk,climate_risk,supply_chain_risk,currency_risk,overall_risk_score,overall_risk,risk_category,risk_trend,assessment_method,assessed_by,mitigation_plan,next_review_date
2015-01,CN,SUP-0001,46.46,18.05,55.87,38.72,33.73,1.31,31.06,26.69,31.49,31.49,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0002,41.46,31.98,56.53,42.06,33.05,7.9,23.98,25.67,32.83,32.83,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0003,53.33,38.07,57.32,42.81,30.69,3.93,35.28,24.14,35.7,35.7,Medium,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0004,40.37,31.26,51.39,45.96,30.0,3.67,26.51,26.37,31.94,31.94,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0005,43.1,38.26,50.77,43.67,36.72,4.5,32.39,26.11,34.44,34.44,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0006,47.36,26.17,52.89,40.64,27.37,8.84,31.53,22.49,32.16,32.16,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0007,45.8,19.57,53.07,48.68,35.97,3.82,20.54,23.38,31.35,31.35,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0008,44.11,19.88,58.64,36.2,35.11,0,20.93,23.8,29.83,29.83,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0009,46.83,26.8,53.96,43.27,29.7,2.82,30.1,25.85,32.42,32.42,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0010,45.92,36.35,58.75,41.93,37.87,0.72,22.24,24.15,33.49,33.49,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0011,55.21,22.04,55.03,44.18,33.74,3.4,21.02,22.96,32.2,32.2,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0012,49.54,37.05,53.82,43.08,34.54,0.86,29.67,24.29,34.11,34.11,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0013,41.79,27.58,54.41,41.08,35.43,7.11,26.37,24.94,32.34,32.34,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0014,43.9,26.99,52.21,35.43,30.48,3.2,28.09,23.92,30.53,30.53,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0015,44.04,32.61,53.44,38.79,32.66,2.2,29.56,21.53,31.85,31.85,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0016,45.44,31.77,50.89,47.69,32.96,5.95,35.06,20.47,33.78,33.78,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0017,45.3,17.81,52.78,44.48,35.55,5.63,20.91,29.2,31.46,31.46,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0018,43.95,26.43,59.27,41.5,34.39,3.82,20.38,25.16,31.86,31.86,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0019,46.41,25.1,55.69,46.49,30.96,3.09,24.54,26.45,32.34,32.34,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0020,52.41,22.74,49.35,43.44,37.39,7.45,28.28,24.29,33.17,33.17,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
