supplier_id,supplier_name,name,country_code,country,city,industry,established_year,employee_count,annual_revenue_usd,annual_capacity_units,commodity_codes,certifications,financial_stability_score,quality_score,delivery_score,cost_score,sustainability_score,innovation_score,response_time_hours,minimum_order_quantity,lead_time_days,payment_terms,contract_type,preferred_currency,risk_level,risk_score,risk_tier,tier,status,preferred_supplier,onboarding_date,last_audit_date,on_time_delivery,performance_trend,recent_risk_spike
SUP-0001,China Precision Components 001,China Precision Components 001,CN,China,Ningbo,Battery,1980,18804,1428903448.77,1108940,"[""NIC"", ""REE"", ""TIM"", ""SEM"", ""STL""]","[""ISO 45001""]",85.2,93.65,93.4,68.53,60.25,98.36,25.4,3910,35,Net 30,framework,CNY,Medium,53.76,Medium,Tier 1,active,true,2017-04-01,2024-12-03,93.4,declining,false
SUP-0002,China Industrial Works 002,China Industrial Works 002,CN,China,Shanghai,Metals,1989,830,830420889.22,77266,"[""ALM"", ""STL"", ""GLS"", ""PAP""]","[""IATF 16949"", ""LEED""]",96.37,77.7,85.67,84.61,69.49,66.03,33.1,3450,11,Net 30,framework,CNY,Medium,39.87,Medium,Tier 2,active,true,2017-09-01,2024-08-04,85.67,declining,false
SUP-0003,China Global Industries 003,China Global Industries 003,CN,China,Ningbo,Construction,1988,9426,1243166570.77,541513,"[""CEM"", ""COP""]","[""ISO 45001"", ""ISO 14001"", ""SA8000""]",92.08,100,74.39,65.29,68.43,100,47.9,3907,44,Net 90,framework,CNY,Medium,53.08,Medium,Tier 1,active,true,2017-10-01,2024-09-09,74.39,declining,false
SUP-0004,China Integrated Supply 004,China Integrated Supply 004,CN,China,Shanghai,Packaging,1983,2135,247646235.83,151665,"[""PAP"", ""SLC"", ""COP"", ""PLA"", ""CTN""]","[""ISO 14001""]",85.41,80.79,85.31,75.03,66.74,81.19,5.7,438,62,Net 45,multi-year,CNY,Medium,48.64,Medium,Tier 2,active,true,2017-09-01,2024-06-10,85.31,declining,false
SUP-0005,China Advanced Materials 005,China Advanced Materials 005,CN,China,Shenzhen,Battery,1990,1350,878685705.62,810772,"[""LIT"", ""SEM"", ""RBR""]","[""ISO 14001"", ""ISO 45001"", ""IATF 16949""]",77.57,97.72,76.65,76.77,75.34,79.16,15.9,3686,48,Net 60,spot,CNY,Medium,48.89,Medium,Tier 2,active,true,2017-11-01,2024-04-10,76.65,declining,false
SUP-0006,China Precision Components 006,China Precision Components 006,CN,China,Guangzhou,Construction,1994,82,202867008.45,21448,"[""TIM"", ""COP"", ""NIC""]","[""ISO 14001"", ""ISO 9001"", ""SA8000"", ""IATF 16949""]",69.62,95.08,85.0,75.52,68.17,100,25.4,3334,48,Net 90,multi-year,CNY,Medium,57.83,Medium,Tier 3,blacklisted,true,2017-03-01,2024-02-13,85.0,declining,false
SUP-0007,China Industrial Works 007,China Industrial Works 007,CN,China,Suzhou,Battery,1990,23154,919368162.33,1081578,"[""LIT"", ""GLS"", ""SEM"", ""TIM"", ""PAP""]","[""LEED"", ""ISO 14001"", ""IATF 16949""]",85.08,93.28,100,87.72,54.49,86.14,31.6,546,54,Net 60,multi-year,CNY,Medium,53.03,Medium,Tier 1,active,true,2017-05-01,2024-11-25,100,declining,false
SUP-0008,China Global Industries 008,China Global Industries 008,CN,China,Ningbo,Construction,1996,23509,333626542.02,73289,"[""CEM"", ""GLS""]","[""LEED"", ""ISO 45001"", ""IATF 16949"", ""ISO 9001""]",85.47,91.13,96.4,77.45,69.2,80.88,31.0,2964,25,Net 30,multi-year,CNY,Medium,42.24,Medium,Tier 1,active,true,2017-05-01,2024-01-23,96.4,declining,false
SUP-0009,China Integrated Supply 009,China Integrated Supply 009,CN,China,Shenzhen,Textiles,1999,238,413368260.66,217988,"[""CTN"", ""RBR"", ""REE"", ""PLA""]","[""ISO 14001""]",83.25,91.65,83.08,66.76,76.14,80.42,51.4,1946,13,Net 60,multi-year,CNY,Medium,54.57,Medium,Tier 3,active,true,2017-04-01,2024-09-22,83.08,declining,false
SUP-0010,China Advanced Materials 010,China Advanced Materials 010,CN,China,Ningbo,Polymers,1997,333,617466333.2,402698,"[""RBR"", ""PLA"", ""SEM"", ""SLC""]","[""ISO 14001"", ""ISO 45001"", ""IATF 16949""]",71.59,78.52,81.33,78.39,81.21,87.14,4.3,1625,17,Net 90,framework,CNY,Medium,56.44,Medium,Tier 2,active,true,2017-07-01,2024-02-01,81.33,declining,false
SUP-0011,China Precision Components 011,China Precision Components 011,CN,China,Guangzhou,Battery,2011,205,166651629.62,29870,"[""NIC"", ""SEM"", ""SLC"", ""GLS""]","[""IATF 16949"", ""ISO 14001""]",75.94,100,95.25,78.18,71.52,77.59,50.0,1913,55,Net 30,spot,CNY,Medium,53.08,Medium,Tier 3,active,true,2017-04-01,2024-08-06,95.25,improving,false
SUP-0012,China Industrial Works 012,China Industrial Works 012,CN,China,Suzhou,Electronics,2007,123,299413018.8,422360,"[""SEM"", ""NIC""]","[""SA8000""]",87.97,90.59,83.32,64.83,74.15,90.4,12.1,3151,57,Net 60,multi-year,CNY,Medium,42.0,Medium,Tier 3,inactive,true,2017-03-01,2024-05-21,83.32,improving,false
SUP-0013,China Global Industries 013,China Global Industries 013,CN,China,Shenzhen,Polymers,1994,13120,957301227.32,465198,"[""PLA"", ""ALM"", ""CTN"", ""COP""]","[""ISO 14001"", ""ISO 9001"", ""ISO 45001"", ""IATF 16949""]",97.7,96.11,85.65,80.26,75.51,79.63,36.7,914,31,Net 60,multi-year,CNY,Medium,47.22,Medium,Tier 1,inactive,true,2017-11-01,2024-04-11,85.65,improving,false
SUP-0014,China Integrated Supply 014,China Integrated Supply 014,CN,China,Ningbo,Electronics,1988,877,1010293808.73,846896,"[""SLC"", ""COP"", ""REE"", ""PAP""]","[""ISO 9001""]",74.82,94.48,90.01,71.77,90.01,82.03,27.7,264,30,Net 45,framework,CNY,Medium,56.66,Medium,Tier 2,active,true,2017-07-01,2024-02-13,90.01,improving,false
SUP-0015,China Advanced Materials 015,China Advanced Materials 015,CN,China,Ningbo,Metals,1985,8155,754444758.9,985920,"[""ALM"", ""PAP"", ""COP""]","[""ISO 9001"", ""ISO 14001"", ""ISO 45001""]",92.25,100,87.5,80.44,70.79,84.62,19.1,3493,9,Net 90,multi-year,CNY,Medium,46.54,Medium,Tier 1,inactive,true,2017-04-01,2024-03-25,87.5,improving,false
SUP-0016,China Precision Components 016,China Precision Components 016,CN,China,Suzhou,Metals,1986,123,577898738.49,242152,"[""ALM"", ""CEM"", ""STL"", ""GLS""]","[""ResponsibleSteel"", ""ISO 45001"", ""SA8000""]",73.01,98.62,77.05,86.97,79.81,74.7,17.3,3780,11,Net 45,spot,CNY,Medium,47.4,Medium,Tier 3,blacklisted,false,2017-08-01,2024-04-20,77.05,improving,false
